ano;PA_UFMUN;UF;Nome_Município;Pop_IBGE;PA_PROC_ID;NO_PROCEDIMENTO;Valor_Aprovado;qtd_aprovada
2018;316095;MG;São Domingos das Dores;5658;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;197.4;14
2015;355280;SP;Taboão da Serra;293652;0201010372;BIOPSIA DE PELE E PARTES MOLES;7852.32;304
2019;354100;SP;Praia Grande;330845;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;560.56;26
2015;410830;PR;Foz do Iguaçu;258248;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;258.72;15
2020;430460;RS;Canoas;348208;0201010380;BIOPSIA DE PENIS;146.64;8
2018;315180;MG;Poços de Caldas;168641;0201010488;BIOPSIA DE URETER;46.19;1
2016;355170;SP;Sertãozinho;127142;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;2659.2;80
2018;251390;PB;São Bento;34344;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;86.24;4
2019;353880;SP;Piraju;29869;0201010372;BIOPSIA DE PELE E PARTES MOLES;258.3;14
2018;410690;PR;Curitiba;1948626;0201010216;BIOPSIA DE FIGADO POR PUNCAO;640.35;9
2016;431560;RS;Rio Grande;211965;0201010402;BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA);3865.12;34
2019;350750;SP;Botucatu;148130;0201010194;BIOPSIA DE FARINGE/LARINGE;76.24;4
2020;315210;MG;Ponte Nova;59875;0201010224;BIOPSIA DE GANGLIO LINFATICO;92.38;2
2020;355410;SP;Taubaté;317915;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;3988.8;60
2015;316210;MG;São Gotardo;35782;0201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA;35;1
2018;291840;BA;Juazeiro;218162;0201010470;BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF;759.36;32
2020;320305;ES;Jaguaré;31039;0201010372;BIOPSIA DE PELE E PARTES MOLES;129.15;5
2016;521880;GO;Rio Verde;241518;0201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA;980;28
2018;314480;MG;Nova Lima;96157;0201010500;BIOPSIA/PUNÇÃO DE VAGINA;36.66;2
2020;330330;RJ;Niterói;515317;0201010410;BIOPSIA DE PROSTATA;1939.98;21
2016;352340;SP;Itatiba;122581;0201010399;BIOPSIA DE PIRAMIDE NASAL;18.33;1
2016;330120;RJ;Carmo;19030;0201010372;BIOPSIA DE PELE E PARTES MOLES;0;4
2016;313900;MG;Machado;42413;0201010518;BIOPSIA/PUNÇÃO DE VULVA;18.33;1
2019;420280;SC;Braço do Norte;33876;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;107.8;5
2016;312560;MG;Felisburgo;7504;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;84.6;6
2016;315120;MG;Pirapora;56640;0201010224;BIOPSIA DE GANGLIO LINFATICO;46.19;1
2019;150618;PA;Rondon do Pará;52803;0201010518;BIOPSIA/PUNÇÃO DE VULVA;788.19;43
2020;312870;MG;Guaxupé;52078;0201010372;BIOPSIA DE PELE E PARTES MOLES;2092.23;81
2020;420140;SC;Araranguá;68867;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;437.1;31
2018;352390;SP;Itu;175568;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;452.76;21
2018;310620;MG;Belo Horizonte;2521564;0201010313;BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO);3484.41;19
2015;315150;MG;Piumhi;34918;0201010232;BIÓPSIA DE GLÂNDULA SALIVAR;31.27;1
2020;410840;PR;Francisco Beltrão;92216;0201010348;BIÓPSIA DE OSSO DO CRÂNIO E DA FACE;71.97;3
2015;150618;PA;Rondon do Pará;52803;0201010631;PUNÇÃO LOMBAR;23027.84;3271
2020;410690;PR;Curitiba;1948626;0201010062;BIOPSIA DE BEXIGA;333.44;8
2018;350280;SP;Araçatuba;198129;0201010062;BIOPSIA DE BEXIGA;416.8;10
2018;291360;BA;Ilhéus;159923;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;14.1;1
