CID,CO_MACSAUD,UF,CO_MUNICIP_R,NOME DO MUNICÍPIO,pop,MortPor100k,mortes_p_covid,A419,A419,J189,J189,J969,J969,J449,J449,J81X,J81X,tot2019,tot2020,dif20_19,%dif20_19,dif20_19_por100khab,tot2019_por100k,%dif20_19_por_mortes_covid
0,1101,RO,110001,Alta Floresta D'Oeste,22728,70.39774727208729,16.0,19.0,9.0,12.0,4.0,7.0,4.0,7.0,1.0,5.0,1.0,50.0,19.0,-31.0,-62.0,-136.39563533966913,219.99296022527278,-193.75
1,1101,RO,110003,Cabixi,5188,96.37625289128759,5.0,6.0,1.0,5.0,2.0,4.0,3.0,4.0,1.0,1.0,0.0,20.0,7.0,-13.0,-65.0,-250.5782575173477,385.50501156515037,-260.0
2,1101,RO,110004,Cacoal,85893,68.6901144447161,59.0,83.0,79.0,69.0,49.0,36.0,48.0,18.0,10.0,13.0,9.0,219.0,195.0,-24.0,-10.95890410958904,-27.94174146903706,254.96839090496317,-40.67796610169492
3,1101,RO,110005,Cerejeiras,16204,49.37052579609973,8.0,20.0,6.0,15.0,3.0,8.0,5.0,4.0,1.0,3.0,2.0,50.0,17.0,-33.0,-65.99999999999999,-203.65341890891136,308.5657862256233,-412.5
4,1101,RO,110006,Colorado do Oeste,15544,51.4668039114771,8.0,14.0,18.0,6.0,8.0,8.0,3.0,2.0,2.0,2.0,2.0,32.0,33.0,1.0,3.125,6.433350488934638,205.8672156459084,12.5
5,1101,RO,110007,Corumbiara,7220,27.70083102493075,2.0,2.0,5.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,7.0,13.0,6.0,85.71428571428572,83.10249307479224,96.95290858725762,300.0
6,1101,RO,110008,Costa Marques,18798,53.197148632833276,10.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,13.0,15.0,2.0,15.384615384615374,10.639429726566656,69.15629322268327,20.0
7,1101,RO,110009,Espigão D'Oeste,32695,45.87857470561248,15.0,10.0,12.0,10.0,4.0,7.0,7.0,1.0,1.0,5.0,6.0,33.0,30.0,-3.0,-9.090909090909093,-9.175714941122495,100.93286435234747,-20.0
8,1101,RO,110012,Ji-Paraná,130009,92.30130221753878,120.0,112.0,96.0,44.0,40.0,48.0,41.0,22.0,12.0,9.0,8.0,235.0,197.0,-38.0,-16.170212765957448,-29.228745702220618,180.75671684268013,-31.666666666666664
9,1101,RO,110014,Nova Brasilândia D'Oeste,20489,24.40333837668993,5.0,8.0,13.0,4.0,7.0,4.0,5.0,2.0,1.0,1.0,3.0,19.0,29.0,10.0,52.63157894736843,48.80667675337986,92.73268583142173,200.0
