,sigla_uf,vacina,vacina_apelido,semana,mes,qt_total,qt_D1,qt_D2,qt_Reforco,qt_Adicional,qt_Unica
0,MS,85,Astrazeneca,2021-08-22,2021-08-01,46451,182,46269,0,0,0
1,RO,85,Astrazeneca,2021-07-25,2021-07-01,47228,28063,19165,0,0,0
2,RO,85,Astrazeneca,2021-05-02,2021-05-01,23157,16791,6366,0,0,0
3,RS,85,Astrazeneca,2021-07-04,2021-07-01,285475,177905,107570,0,0,0
4,DF,85,Astrazeneca,2021-04-18,2021-04-01,38761,35249,3512,0,0,0
5,DF,85,Astrazeneca,2021-05-02,2021-05-01,70975,51711,19264,0,0,0
6,DF,85,Astrazeneca,2021-08-08,2021-08-01,27847,2002,25845,0,0,0
7,PE,85,Astrazeneca,2021-08-29,2021-08-01,46804,2725,44079,0,0,0
8,PE,85,Astrazeneca,2021-10-03,2021-10-01,92194,2209,89883,50,52,0
9,GO,85,Astrazeneca,2021-01-17,2021-01-01,154,150,4,0,0,0
10,GO,85,Astrazeneca,2021-11-14,2021-11-01,6534,184,6335,15,0,0
11,SP,85,Astrazeneca,2021-05-23,2021-05-01,958379,690290,268075,0,14,0
12,SP,85,Astrazeneca,2021-01-31,2021-02-01,228097,227888,196,1,12,0
13,MG,85,Astrazeneca,2021-07-25,2021-07-01,598946,282526,316406,0,14,0
14,MG,85,Astrazeneca,2021-05-02,2021-05-01,497744,430622,67121,0,1,0
15,PI,85,Astrazeneca,2021-06-06,2021-06-01,95069,91885,3184,0,0,0
16,PI,85,Astrazeneca,2021-11-07,2021-11-01,13073,176,12872,16,9,0
17,PI,85,Astrazeneca,2021-10-17,2021-10-01,42035,227,41783,14,11,0
18,PI,85,Astrazeneca,2021-06-27,2021-07-01,15490,10753,4737,0,0,0
19,PI,85,Astrazeneca,2021-08-22,2021-08-01,51171,3545,47626,0,0,0
20,PB,85,Astrazeneca,2021-05-02,2021-05-01,75368,71719,3649,0,0,0
21,AM,85,Astrazeneca,2021-09-26,2021-10-01,10373,407,9643,319,4,0
22,MT,85,Astrazeneca,2021-11-07,2021-11-01,17602,281,16933,380,8,0
23,RJ,85,Astrazeneca,2021-10-03,2021-10-01,128412,1393,125216,1612,191,0
