,sigla_uf,qt_total,qt_D1,qt_D2,qt_Reforco,qt_Adicional,qt_Unica,pop,%qt_total_pop,%qt_D1_pop,%qt_D2_pop,%qt_Reforco_pop
0,AC,978655,570325,392966,12174,3190,0,894470,109.411718671392,63.76122172906861,43.93283173275795,1.36102943642604
1,AL,3979842,2301668,1553078,121599,3375,0,3351543,118.74655942054153,68.67487601979148,46.33919361917779,3.628149780563758
2,AM,4624518,2601868,1844823,148700,3012,26105,4207714,109.90571127220147,61.83566658760553,43.84383064058061,3.5339854372231576
3,AP,779220,497254,268596,12064,1306,0,861773,90.42056318775363,57.70127400139016,31.167836541641474,1.3999046152525085
4,BA,17690607,10339617,6759423,558578,32980,0,14930634,118.48530343721507,69.25102443740835,45.27217665371745,3.741153925546631
5,CE,10911281,6228000,4325668,310901,13888,32821,9187103,118.76737422014317,67.79068439746457,47.08413522739431,3.3841026926551274
6,DF,4183664,2294116,1720866,156101,12580,0,3055149,136.9381329683102,75.09015108592085,56.326745438602174,5.109439834194666
7,ES,5956192,3204923,2315872,382350,32236,20811,4064052,146.55796727010383,78.86028525225564,56.98431024012488,9.408098124728719
8,GO,9239237,5295805,3603261,319798,20373,0,7113540,129.88240735273857,74.44682956727593,50.65355645712262,4.495623838482668
9,MA,7562780,4357719,2972126,213687,19248,0,7114598,106.29947046902721,61.2503896917296,41.77503774633507,3.0035006897086807
10,MG,29276721,16271420,11682733,1217484,73890,31170,21292666,137.4967371394451,76.41795536547654,54.86740364029568,5.717856091858107
11,MS,4120925,2188541,1646819,153946,131577,1,2809394,146.68376881277598,77.90082131591369,58.618299889584726,5.479687078423319
12,MT,4462009,2579214,1761785,111720,9033,64,3526220,126.53802088355235,73.14387644559896,49.96242435242271,3.168265167800081
13,PA,8638441,5146626,3254049,228217,9350,1,8690745,99.3981643691076,59.21961811099048,37.442693347923566,2.625977404698907
14,PB,5427427,3083851,2110404,224460,8067,86,4039277,134.36629872128105,76.34660856385932,52.247072929140536,5.556935065359469
15,PE,12171393,6959361,4768232,287586,156213,0,9616621,126.56621281009204,72.36804902678394,49.58323718902928,2.990509868279097
16,PI,4398465,2470047,1805358,117691,5369,0,3281480,134.0390616429172,75.27234662408425,55.01657788558821,3.5865219352243503
17,PR,17024562,9176537,7063998,688011,74115,21899,11516840,147.82320497636505,79.67929570958701,61.336251958002364,5.973956397761886
18,RJ,24543739,13252359,9769282,1497720,24210,0,17366189,141.33059936178282,76.31126783199238,56.25461061145886,8.624344696467372
19,RN,4798847,2569210,1943257,221908,8524,55940,3534165,135.78446393985567,72.6963794842629,54.984897422729276,6.278937174693315
20,RO,2137208,1214073,856460,58918,7663,0,1796460,118.9677476815515,67.58141010654288,47.67487169210558,3.2796722443026844
21,RR,615758,368311,231841,14353,1252,1,631181,97.55648538216455,58.35267538154666,36.73130211460738,2.2739911372490615
22,RS,17159328,9070552,7178385,856486,52093,1654,11422973,150.21770602101572,79.40622813342901,62.8416525190071,7.497925452506979
23,SC,10697741,5839373,4410536,420234,27542,54,7252502,147.50414408710265,80.51528975793457,60.813992191935974,5.794331390739361
24,SE,2716904,1588890,1046338,78705,2971,0,2318822,117.16742380398324,68.5214302779601,45.12368780354852,3.394180320869821
25,SP,76261514,38882698,33699903,3531889,112791,34198,46289333,164.74964977352343,83.99926177376545,72.8027405363564,7.63002785112501
26,TO,1853142,1068570,723565,58780,2227,0,1590248,116.53163531725869,67.19517961978258,45.50013582787088,3.696278819404269
