CO_MUNICIP,CO_MACSAUD
000000,0000
110001,1101
110003,1101
110004,1101
110005,1101
110006,1101
110007,1101
110008,1101
110009,1101
110012,1101
110014,1101
110015,1101
110018,1101
110025,1101
110028,1101
110029,1101
110030,1101
110032,1101
110034,1101
110037,1101
110050,1101
110090,1101
110092,1101
110120,1101
110130,1101
110143,1101
110145,1101
110146,1101
110147,1101
110148,1101
110149,1101
110150,1101
110155,1101
110170,1101
110180,1101
110002,1102
110010,1102
110011,1102
110013,1102
110020,1102
110026,1102
110033,1102
110040,1102
110045,1102
110060,1102
110070,1102
110080,1102
110094,1102
110100,1102
110110,1102
110140,1102
110160,1102
110175,1102
120001,1201
120005,1201
120010,1201
120013,1201
120017,1201
120020,1201
120025,1201
120030,1201
120032,1201
120033,1201
120034,1201
120035,1201
120038,1201
120039,1201
120040,1201
120042,1201
120043,1201
120045,1201
120050,1201
120060,1201
120070,1201
120080,1201
130002,1302
130006,1302
130020,1302
130060,1302
130100,1302
130140,1302
130150,1302
130160,1302
130165,1302
130180,1302
130195,1302
130210,1302
130220,1302
130230,1302
130280,1302
130370,1302
130390,1302
130406,1302
130420,1302
130423,1302
130426,1302
130014,1303
130050,1303
130068,1303
130080,1303
130170,1303
130190,1303
130200,1303
130270,1303
130290,1303
130300,1303
130330,1303
130340,1303
130395,1303
130400,1303
130430,1303
130440,1303
130008,1304
130010,1304
130030,1304
130040,1304
130063,1304
130070,1304
130083,1304
130090,1304
130110,1304
130115,1304
130120,1304
130130,1304
130185,1304
130240,1304
130250,1304
130255,1304
130260,1304
130310,1304
130320,1304
130350,1304
130353,1304
130356,1304
130360,1304
130380,1304
130410,1304
140002,1401
140005,1401
140010,1401
140015,1401
140017,1401
140020,1401
140023,1401
140028,1401
140030,1401
140040,1401
140045,1401
140047,1401
140050,1401
140060,1401
140070,1401
150013,1509
150034,1509
150125,1509
150157,1509
150175,1509
150178,1509
150215,1509
150270,1509
150276,1509
150277,1509
150293,1509
150295,1509
150304,1509
150309,1509
150370,1509
150380,1509
150420,1509
150497,1509
150506,1509
150543,1509
150549,1509
150553,1509
150555,1509
150563,1509
150613,1509
150616,1509
150618,1509
150658,1509
150670,1509
150715,1509
150730,1509
150745,1509
150750,1509
150775,1509
150795,1509
150808,1509
150810,1509
150840,1509
150040,1510
150050,1510
150060,1510
150085,1510
150100,1510
150145,1510
150172,1510
150285,1510
150300,1510
150360,1510
150375,1510
150390,1510
150445,1510
150475,1510
150480,1510
150503,1510
150510,1510
150530,1510
150548,1510
150565,1510
150590,1510
150600,1510
150619,1510
150680,1510
150780,1510
150797,1510
150805,1510
150815,1510
150835,1510
150020,1511
150090,1511
150095,1511
150160,1511
150170,1511
150190,1511
150195,1511
150220,1511
150230,1511
150240,1511
150260,1511
150275,1511
150290,1511
150307,1511
150320,1511
150340,1511
150345,1511
150350,1511
150405,1511
150410,1511
150430,1511
150440,1511
150495,1511
150500,1511
150540,1511
150550,1511
150560,1511
150610,1511
150611,1511
150620,1511
150650,1511
150655,1511
150660,1511
150690,1511
150700,1511
150710,1511
150720,1511
150740,1511
150746,1511
150747,1511
150760,1511
150796,1511
150800,1511
150803,1511
150812,1511
150820,1511
150830,1511
150010,1512
150030,1512
150070,1512
150080,1512
150110,1512
150120,1512
150130,1512
150140,1512
150150,1512
150180,1512
150200,1512
150210,1512
150250,1512
150280,1512
150310,1512
150330,1512
150400,1512
150442,1512
150450,1512
150460,1512
150470,1512
150490,1512
150520,1512
150570,1512
150580,1512
150630,1512
150635,1512
150640,1512
150770,1512
150790,1512
160005,1601
160010,1601
160015,1601
160020,1601
160021,1601
160023,1601
160025,1601
160027,1601
160030,1601
160040,1601
160050,1601
160053,1601
160055,1601
160060,1601
160070,1601
160080,1601
170030,1701
170100,1701
170105,1701
170130,1701
170210,1701
170215,1701
170220,1701
170230,1701
170255,1701
170290,1701
170300,1701
170305,1701
170307,1701
170320,1701
170330,1701
170360,1701
170380,1701
170382,1701
170384,1701
170388,1701
170389,1701
170410,1701
170550,1701
170600,1701
170650,1701
170740,1701
170770,1701
170830,1701
170900,1701
170930,1701
171050,1701
171070,1701
171090,1701
171110,1701
171180,1701
171245,1701
171280,1701
171380,1701
171395,1701
171430,1701
171488,1701
171570,1701
171630,1701
171650,1701
171665,1701
171670,1701
171720,1701
171830,1701
171840,1701
171850,1701
171855,1701
171880,1701
171886,1701
171888,1701
172000,1701
172010,1701
172020,1701
172030,1701
172080,1701
172120,1701
172125,1701
172130,1701
172208,1701
172210,1701
170025,1702
170035,1702
170040,1702
170070,1702
170110,1702
170190,1702
170200,1702
170240,1702
170270,1702
170310,1702
170370,1702
170386,1702
170390,1702
170460,1702
170510,1702
170555,1702
170560,1702
170610,1702
170625,1702
170700,1702
170710,1702
